1,Itzel,Moyer,1,96,
2,Thalia,Hernandez,1,99,
3,Myla,Craig,1,141,
4,Jazmine,Alvarez,1,186,
5,Tristin,Banks,1,54,
6,Aliyah,Holmes,1,118,
7,Joselyn,Curtis,1,120,
8,Harper,Walters,1,168,
9,Augustus,Kent,1,163,
10,Gaige,Compton,1,164,
11,Tommy,Ewing,1,187,
12,Denzel,Mathis,1,109,
13,Karli,Vaughan,1,158,
14,Milagros,Tate,1,197,
15,Cordell,Richard,1,69,
16,Adrien,Miranda,1,54,
17,Denise,Wolf,1,155,
18,Genesis,Zamora,1,179,
19,Manuel,Livingston,1,134,
20,Layla,Buckley,1,123,
21,Ishaan,Moss,1,199,
22,Gilberto,Berry,1,148,
23,Deanna,Coffey,1,107,
24,Mckenzie,Hutchinson,1,130,
25,Jovanny,Webster,1,170,
26,Samantha,Peterson,1,184,
27,Mila,Frederick,1,143,
28,Jaiden,Owens,1,185,
29,Adelyn,Boyle,1,199,
30,Jamir,Benitez,1,156,
31,Josue,Rich,1,155,
32,Mateo,Lester,1,84,
33,Alisha,Calderon,1,155,
34,Cassidy,Miranda,1,65,
35,Jasmin,Goodwin,1,105,
36,Yasmin,Olsen,1,172,
37,Jacquelyn,Jenkins,1,140,
38,Kaylyn,Copeland,1,100,
39,Malcolm,Potts,1,155,
40,Sanai,Greene,1,200,
41,Urijah,Hood,1,102,
42,Amara,Barr,1,69,
43,Taniyah,Mcconnell,1,154,
44,Kaelyn,Rangel,1,116,
45,Turner,Schmidt,1,50,
46,Lennon,Hester,1,65,
47,Brooklyn,Banks,1,114,
48,Maleah,Oneal,1,143,
49,Natalia,Conrad,1,97,
50,Ross,Ayers,1,145,
51,Antoine,Nicholson,1,197,
52,Rylie,Luna,1,158,
53,Ramon,Huff,1,93,
54,Celia,Nunez,1,166,
55,Tabitha,Ho,1,183,
56,Dexter,Vargas,1,166,
57,Jimmy,Deleon,1,78,
58,Micah,Mcintosh,1,137,
59,Franklin,Friedman,1,162,
60,Lisa,Rodriguez,1,114,
61,Lizbeth,Morton,1,125,
62,Johnny,Santiago,1,156,
63,Jaron,Rowe,1,187,
64,William,Pittman,1,76,
65,Trevor,Livingston,1,91,
66,Averi,Downs,1,136,
67,Jordan,Duke,1,134,
68,Kyleigh,Rollins,1,84,
69,Jude,Galloway,1,66,
70,Marcy,Cruz,1,79,
71,Reed,Foster,1,77,
72,Mauricio,Wiggins,1,125,
73,Dax,Santiago,1,186,
74,Lorelai,Willis,1,192,
75,Aditya,Richardson,1,163,
76,Nylah,Horn,1,55,
77,Jace,Duran,1,98,
78,Ramiro,Andrade,1,196,
79,Jasmine,Glover,1,192,
80,Freddy,Simon,1,117,
81,Ray,Jarvis,1,184,
82,Rylee,Duncan,1,129,
83,Kadyn,Gentry,1,121,
84,Chandler,Hart,1,56,
85,Julianne,Gallagher,1,117,
86,Rosa,Mccullough,1,184,
87,Sofia,Perry,1,107,
88,Amir,Fuller,1,195,
89,Saul,Case,1,143,
90,Itzel,Mendoza,1,66,
91,Dario,Escobar,1,166,
92,Abel,Juarez,1,70,
93,Michaela,Everett,1,173,
94,Terry,Meadows,1,79,
95,Alice,Lindsey,1,92,
96,Tess,Parks,1,161,
97,Jaycee,Berg,1,114,
98,Jordan,Crosby,1,61,
99,Shayla,Dominguez,1,100,
100,Greyson,Liu,1,194,
101,Kimberly,Raymond,1,100,
102,Brittany,Huffman,1,112,
103,Marcel,Pennington,1,144,
104,Asa,Sherman,1,144,
105,Viviana,Mooney,1,139,
106,Lillian,Buckley,1,170,
107,Lorena,Johnson,1,118,
108,Anabel,Hunt,1,96,
109,Nina,Small,1,90,
110,Rishi,Pope,1,190,
111,Jaqueline,Watkins,1,177,
112,Mariam,Wise,1,171,
113,Dylan,Lambert,1,64,
114,Tanner,Zhang,1,134,
115,Janet,Cameron,1,111,
116,Isabella,Crawford,1,78,
117,Kyan,Tapia,1,101,
118,Alexzander,Lin,1,50,
119,Tyrone,Lamb,1,166,
120,Cael,Welch,1,119,
121,Gwendolyn,Savage,1,160,
122,Monserrat,Curry,1,194,
123,Addyson,Watkins,1,63,
124,Lily,Wall,1,54,
125,Davon,Sampson,1,67,
126,Marissa,Mcconnell,1,186,
127,Mitchell,Oconnell,1,187,
128,Irvin,Booth,1,71,
129,Teagan,Copeland,1,129,
130,Victoria,Thomas,1,158,
131,River,Barnes,1,126,
132,Abel,Harvey,1,186,
133,Genesis,Khan,1,153,
134,Aden,Williams,1,64,
135,Tyrell,Mclean,1,200,
136,Trevor,Floyd,1,81,
137,Declan,Kelly,1,133,
138,Asia,Barber,1,147,
139,Emilee,Bryant,1,159,
140,Sophie,Fitzpatrick,1,133,
141,Hazel,Bowman,1,75,
142,Karla,Duarte,1,97,
